0,AYT,Ayit Aviation and Tourism,AYEET,Israel
0B,JOR,Blue Air,BLUE TRANSPORT,Romania
0D,DWT,Darwin Airline,DARWIN,Switzerland
0J,JCS,Jetclub,JETCLUB,Switzerland
0K,KRT,Air Kokshetau,KOKTA,Kazakhstan
1B,BGH,BH Air (Balkan Holidays),BALKAN HOLIDAYS,Bulgaria
1I,AMB,DRF Luftrettung,CIVIL AIR AMBULANCE,Germany
1I,EJA,NetJets,EXECJET,USA
1I,NJE,NetJets Europe,FRACTION,Portugal
1I,NVR,Novair,NAVIGATOR,Sweden
1T,BUC,Bulgarian Air Charter,BULGARIAN CHARTER,Nigeria
1W,WON,Wings Air,WINGS ABADI,Indonesia
2,CPB,Corporate Express,PENTA,Canada
2B,ARD,Aerocondor,AEROCONDOR,Portugal
2B,BAB,Bahrain Air,BAHRAIN AIR,Bahrain
2D,OST,Alania Airlines,ALANIA,Russia
2E,PHW,AVE.com,PHOENIX SHARJAH,United Arab Emirates
2F,FTA,Frontier Flying Service,FRONTIER-AIR,USA
2F,IRP,Payam Air,PAYAMAIR,Iran
2G,CRG,Cargoitalia,WHITE PELICAN,Italy
2I,SRU,Star Per̼,STAR UP,Peru
2J,VBW,Air Burkina,BURKINA,Burkina Faso
2K,GLG,Aerolineas Galapagos (Aerogal),AEROGAL,Ecuador
2L,OAW,Helvetic Airways,HELVETIC,Switzerland
2M,MDV,Moldavian Airlines,MOLDAVIAN,Moldova
2N,NTJ,Nextjet,NEXTJET,Sweden
2N,UMK,Yuzmashavia,YUZMASH,Ukraine
2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines
2Q,ETS,Avitrans,EXTRANS,Sweden
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,USA
2S,SDY,Island Express,SANDY ISLE,USA
2T,TUX,Tulpar Air Service,TULPA,Kazakhstan
2W,WLC,Welcome Air,WELCOMEAIR,Austria
2Z,CGN,Chang'an Airlines,CHANGAN,China - Peoples Republic
3A,CLU,Triple Alpha Luftfahrtgesellschaft,CAROLUS,Germany
3D,APG,Air People International,AIR PEOPLE,Thailand
3D,DNM,Denim Air,DENIM,Netherlands
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia
3H,AIE,Air Inuit,AIR INUIT,Canada
3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore
3L,ISK,InterSky,INTERSKY,Austria
3M,GFT,Gulfstream International Airlines,GULF FLIGHT,USA
3N,URG,Air Urga,URGA,Ukraine
3P,TNM,Tiara Air,TIARA,Aruba (Netherlands)
3R,GAI,Moskovia Airlines,GROMOV AIRLINE,Russia
3S,BOX,AeroLogic,GERMAN CARGO,Germany
3T,URN,Turan Air,TURAN,Azerbaijan
3U,CSC,Sichuan Airlines,SI CHUAN,China - Peoples Republic
3U,NCH,Chanchangi Airlines,CHANCHANGI,Nigeria
